NOMBRE LOCALIDAD
AGUASCALIENTES
VILLA LIC. JESUS TERAN (CALVILLITO)
ACAPULCO
LA ADEME
LA ADELITA
AGUA AZUL
LAS AGUILILLAS
LAS AGUILILLAS
LOS AMARRADEROS
LAS ANIMAS
LOS ARBOLITOS (RANCHO DE LOS ARBOLITOS)
ARDILLAS DE ABAJO (LAS ARDILLAS)
ARELLANO
EL ARROYO HONDO
ASTURIAS
AZARCO
BAJIO LOS VAZQUEZ
EL BAJIO
LOS BARROSO
FRACC. RESD. SAN NICOLAS
EL BECERRO (JORGE GTZ)
EL BECERRO (LUCIO GTZ)
BELLA VISTA (EL CORONEL)
LA BIZNAGA
HACIENDA LOS PAVORREALES
BUENAVISTA DE PEÑUELAS
BUGAMBILIAS
CABECITA 3 MARIAS (RANCHO NUEVO)
LA CACHUCHA
EL CAPIROTE
EL CARACOL
EL REFUGIO (EL CARACOL)
EL CARDON
EL CARMEN
CASAS BLANCAS
CASTILLO FONTENAC
LA CAÑADA DE LAS HABAS
COL. CAÑADA GRANDE DE COTORINA
ESTACION CAÑADA HONDA
LOS CAÑOS
EL CEDAZO (CEDAZO DE SAN ANTONIO)
CENTRO DE ARRIBA (EL TARAY)
CENTRO DE ESPECIES MENORES
CENTRO DE ESTUDIOS DIFERENCIADOS
CENTRO NEUROPSIQUIATRICO
EL CHIFLIDO
EL CHILARILLO
LA CHIRIPA
LA CHIRIPA
CHOMITE
CIENEGUILLA (LA LUMBRERA)
CIENEGUILLA (LA HACIENDA)
CIUDAD DE LOS NIÑOS
COBOS
EL CODO
EL COLORADO (EL ZOYATAL)
EL CONEJAL
LA CONGOJA
EL COPETE
EL COPETILLO
COTORINA COYOTES
COTORINA DE ABAJO (PEÑUELAS)
COTORINA DE ALTAMIRA
LA COTORRA
LA COYOTERA
COYOTES
CRUCERO
LAS CRUCITAS
LA CRUZ
CUAUHTEMOC (LAS PALOMAS)
CUERNAVACA
LOS CUERVOS (OJOS DE AGUA)
CUEVA DE LOS PERICOS
EL CUIJE
EL CUIJE (SAN JOSE DE LA PRESA)
DOLORES
LOS DOLORES
LA NORIA (DON JUAN)
EL DURAZNILLO
LOS DURON
EL 14
ENTRADA DE MONTORO
LA ESCONDIDA
LA ESCONDIDA
LA ESCUADRA (LA ESPERANZA)
LA ESPERANZA II
LA ESPERANZA
SAN CARLOS
LA ESTANCIA
EX-HACIENDA DE AGOSTADERITO
EX-HACIENDA DE BUENAVISTA
EX-HACIENDA DE MONTORO
EX-HACIENDA DE PEÑUELAS
EL FILSON (VIÑEDOS BRADE VINE)
LA FLORIDA
LA FLORIDA
LA FORTUNA
LA FORTUNA
LA FRONTERA (LOS GAVILANES)
EL CARMEN (GALLINAS GUERAS)
LAS 2 PEÑAS MEYERAS
EL GIGANTE
LA GLORIA II
GRAL. J. MA. MORELOS Y PAVON (CAÑADA HONDA)
LAS GRANJAS CAMPESTRE (MI RANCHITO)
GRANJA CHANGAY
GRANJA COVA (LA PALOMA)
GRANJA LA LUZ
GRANJA LA PROVIDENCIA
GRANJA LOS LIRIOS
CHURUBUSCO
NUEVAS GRANJAS FATIMA
GRANJA PADILLA
GRANJA SAN ANTONIO
GRANJAS CARIÑAN
GRANJAS DEL VALLE
EL GUARDA
LOS GUERRERO
HACIENDA NUEVA
LA HACIENDITA
LOS HERNANDEZ (SANTA GERTRUDIS)
LA HERRADA (LA HERRADURA)
HILDA
EL HOTELITO
LOS HOYOS II (PUERTA DE LOS HOYOS)
EL HUIZACHE
LAS ISABELES
JABONERAS
EL JAGUEY
JALTOMATE
LAS JARILLAS
LA JOSEFINA
LA LABORCILLA
LA LAGUNA DE LOS ADOBES
LAGUNA VERDE
LAGUNAS CUATAS
LA LAGUNITA (SANTA ANITA)
EL LATIFUNDIO
LOS LAURELES
LOS LIRIOS
LOS LIRIOS
LOMA DE LOS NEGRITOS
LA LOMA
LOMAS DE ARELLANO
LOMAS DEL GUARDA
LOMAS DEL PICACHO
LOTES DE ARELLANO
LUCERO DE LA CRUZ
EL LUCERO
EL MALACATE
LAS MARIAS
MARISOL
AMP SANTA CRUZ DE LA PRESA (MALBORITO)
LA MASCOTA
MATAMOROS
MEDIA LUNA
MESA DEL SALTO
LA MESA DEL TEPETATE
PRODUCTOS CONCENTRADOS
LA MESA
EL MIRADOR
EL MIRADOR
EL MIRADOR
EL MIRASOL
EL MISTERIO
EL MITOTE
EL MOJON
EL MOLINO
EL MOLINO
MONTORO
LOS NEGRITOS
EL NIAGARA (RANCHO EL NIAGARA)
LA NORIA (PUERTA DEL RIO)
SAN NICOLAS DE ENMEDIO
NORIAS DE OJOCALIENTE
NORIAS DEL CEDAZO (CEDAZO NORIAS DE MONTORO)
NORIAS DEL PASO HONDO
NOXTLI
NUEVA YORK (GRANJA ELSA)
EL OCOTE
LA AHUJA (LA AGUJA)
LOS OLIVOS
LOS ORGANOS
LAS PALOMAS I
EL PARAISO
EL PARAISO
PARGAS (LOS ESPARZA)
PASO HONDO (EL DOMINADO)
LA PERLA
LA PETAQUILLA (EL MILAGRO)
PEÑUELAS (EL CIENEGAL)
PIEDRAS CHINAS
PUERTO DE NIETO
EL PIRUL
EL PIRULITO
EL PITON
EL PLAN DEL HORNO
LAS PLAYAS III
EL POTRERITO
POTRERO GRANDE
EL POTRERO NUEVO
EL POZO
PRESA DE GUADALUPE
PRESA NUEVA
LA PRESA DE SAN BARTOLO
LA PRIMAVERA
LOMAS DE NUEVA YORK
PREDIO LA LUZ
LA PROVIDENCIA
LA PUERTA DE LAS ALAZANAS
LA PUERTA DE LOS VIEJITOS
LA PUERTA
CASA BLANCA
RANCHO EL MOCHO
RANCHO ALEGRE
RANCHO COYOTILLOS
RANCHO DON ABRAHAM
RANCHO EL CARMEN
RANCHO EL MITAWA
RANCHO EL OBRAJE
RANCHO EL REBOZO
RANCHO EL VENADO
RANCHO LA LUZ
RANCHO LA MANGA
RANCHO LA MESA
RANCHO LA PRIMAVERA
RANCHO LOS CABLES
RANCHO NUEVO
LAS MERCEDES (RANCHO NUEVO)
RANCHO SAN CARLOS
RANCHO SAN GERONIMO
RANCHO SAN JACINTO
RANCHO DON FIDENCIO
RANCHO TOPOGIGIO
EL REFUGIO DE PEÑUELAS
EL REFUGIO I
EL REFUGIO II
EL REFUGIO III
EL RELICARIO
RINCONADA LA ESCONDIDA
EL RUBIO
S.JOSE DEL MONTE (S.JOSE DE LAS PETACAS)
EL SABINO (SAN ROMAN)
SAL SI PUEDES
SAN FRANCISQUITO
EL SALERO
SALTO DE LOS SALADOS
SAN AGUSTIN I
SAN ANDRES
SAN A. DE LOS PEDROZA (COL. LOS PEREZ)
SAN ANTONIO DE LOS PEDROZA I
SAN ANTONIO DE PEÑUELAS
SAN ANTONIO I
HACIENDA SAN BARTOLO
SAN FELIPE (SAN FRANCISCO)
SAN FELIPE (VIÑEDOS SAN FELIPE)
SAN FELIPE 2A. SECCION
SAN FRANCISCO DEL ARENAL
FRACC. SAN GERARDO
SAN ISIDRO
SAN ISIDRO
SAN ISIDRO
SAN ISIDRO (GRANJA SANTA ANITA)
SAN ISIDRO DE LOS ESPARZA
SAN JOSE
SAN JOSE DE BUENAVISTA
SAN JOSE DE LA ESPERANZA
SAN JOSE DE LA ORDEÑA
SAN JOSE DEL CONO
SAN JUAN (RANCHO SAN JUAN)
SAN MARCOS (AVICOLA SAN MARCOS)
SAN MARTIN
SAN MARTIN DE PORRES
SAN MARTIN (LA CANTERA)
SAN CRISTOBAL
SAN MIGUEL
SAN MIGUEL
SAN MIGUELITO DE ARRIBA
SAN NICOLAS
SAN NICOLAS
SAN NICOLAS DE ARRIBA
SAN PASCUAL
SAN PEDRO CIENEGUILLA
SAN RAFAEL
SANTA CARMEN (SAN VICTOR)
SANTA CLARA
SANTA CRUZ
GRANJA MARCELA
SANTA CRUZ DE LA PRESA (LA TLACUACHA)
SANTA ELENA
SANTA ELENA (3 PELONAS)
SANTA GERTRUDIS
SANTA INES
SANTA MARIA DE GALLARDO
SANTA TERESA
SANTA TERESA
EL SAUZ AMARILLO
EL SOCORRO
SOLEDAD DE ABAJO
SOLEDAD DE ARRIBA
LA SOLEDAD II
EL TACON
TANQUE DE GUADALUPE
TANQUE DE LA CRUZ
EL TANQUE DE LOS JIMENEZ
EL GATO
EL TANQUE
EL TEPETATE
LA TIJERA
LAS TINAJAS
CASA DE PIEDRA
EL TRIGO
LA TROJES SANTA MARIA
LAS TROJES
EL TROPEZON
EL TURICATE
UNION GANADERA DE AGUASCALIENTES
EL VARAL
EL COLUMPIO
EJIDO LOS NEGRITOS
LAS VIBORAS
LAS VIBORAS
VICTORIA
VILLA ASUNCION ECUESTRE
VILLA SU
LAS VIOLETAS
VISTA ALEGRE
VISTA ALEGRE I (BELLA VISTA)
RANCHO VISTA ALEGRE
RANCHO LA ESPERANZA
VIÑEDOS CUAUHTEMOC
LA TERESA
VIÑEDOS EL TAJO
RANCHO SAN FRANCISCO (LAS COCHINERAS)
VIÑEDOS SAN PABLO
VALLE REDONDO
EL YERBANIZ
EL ZAPOTE
ZAIDA
COL VETERANOS DE LA REVOLUCION
PARQUE INDUSTRIAL SIGLO XXI
EL FUTURO
SAN FCO. DE LA CRUZ
RANCHO LOS GIRASOLES
